category,Product_Name,Sales_2021,Sales_2022,Sales_Diff,Percent change,Remark
Others,Dawlance_MD 10 + DWB 600,46.0,0.0,-46.0,-100.0,Down
Others,iu_Tickets General Enclosure-Islamabad,40.0,0.0,-40.0,-100.0,Down
Others,RS_Rehmat-e-Shereen Mix Mithai,26.0,0.0,-26.0,-100.0,Down
Others,sindbad_Sindbad Gift Card-3,14.0,0.0,-14.0,-100.0,Down
Others,Am-PTV_ATS-004-M,10.0,0.0,-10.0,-100.0,Down
Others,Vouch 365 2016,10.0,0.0,-10.0,-100.0,Down
Others,duma_4561253300294,8.0,0.0,-8.0,-100.0,Down
Others,The Vitamin Company Kojic Acid Whitening Cream 40GM,8.0,0.0,-8.0,-100.0,Down
Others,sockoye_QG in Quarter Grey,8.0,0.0,-8.0,-100.0,Down
Others,Trans2_LW 999 ,6.0,0.0,-6.0,-100.0,Down
Others,aw_Octane Booster-12oz./354ml ,6.0,0.0,-6.0,-100.0,Down
Others,MEGUIAR_G19216,4.0,0.0,-4.0,-100.0,Down
Others,MEGUIAR_G13616,4.0,0.0,-4.0,-100.0,Down
Others,aw_Super Concentrated Fuel Injector (Black)-5.25oz./155ml ,4.0,0.0,-4.0,-100.0,Down
Others,aw_CRC DUST FREE -400ml  ,4.0,0.0,-4.0,-100.0,Down
Others,sstop_Universallensclipkit,4.0,0.0,-4.0,-100.0,Down
Others,BOOSTER CABLE 500AMP,2.0,0.0,-2.0,-100.0,Down
Others,Careem_50000 Credits,2.0,0.0,-2.0,-100.0,Down
Others,JBS_IFAM-025,2.0,0.0,-2.0,-100.0,Down
Others,Dawlance_bundle_DWEK-8229_clear,2.0,0.0,-2.0,-100.0,Down
